,Date,Tweet Full Text,Topic,Action,user id,follower count,place,score,sadness,joy,fear,disgust,anger,predictions,classification_correct,location
0,2/25/19 6:34,b'@zomatocare @hydcitypolice \n@cyberabadpolice \n@VijayGopal_ \nzomato accepted my order and never delivered or refunded. Kindly help',Others,NS,1.08e+18,0.0,,0.339199,0.105245,0.225655,0.001491,0.002787,0.0233,Others,True,False
1,2/25/19 5:15,"b'@hydcitypolice Sir, any updates regarding my complaint?'",Follow up,S,1.04e+18,0.0,,-0.761524,0.162827,0.033009,0.013693,0.125967,0.187487,Follow up,True,False
2,2/24/19 5:59,b'@HYDTP @CPHydCity @hydcitypolice @TelanganaDGP @CYBTRAFFIC  triple riding.. no helmet... At Erragadda rythu bazar 10:25AM 24-02-2019 https://t.co/tPzBlu6ENd',Traffic,NS,1.09e+18,0.0,,0.0,0.14188,0.146321,0.088611,0.105356,0.080799,Traffic,True,False
3,03-01-2019 14:32,b'@HYDTP @hydcitypolice @AddlCPTrHyd Good initiative',Appreciation,NS,140010819.0,0.0,,0.901576,0.054764,0.780943,0.050431,0.014236,0.026168,Appreciation,True,False
4,03-01-2019 12:34,b'@USCGHyderabad @TelanganaDGP @USAndHyderabad @TelanganaCMO @KTRTRS @hydcitypolice It was a pleasure meeting you.. Thank you',Appreciation,NS,1.05e+18,0.0,,0.965338,0.002762,0.835799,0.001891,0.001063,0.012618,Appreciation,True,False
5,03-01-2019 08:03,"b""@hydcitypolice @CyberCrimeshyd @HDFC_Bank @HDFCBank_Cares I have applied for HDFC Regalia 1st credit card on 20/01/2019 at paradise circle branch, secunderabad. I was told that I would receive CC in 7 working days. It's been over a month &amp; person assigned is not answering my call""",Fraud,NS,7.53e+17,0.0,,-0.732753,0.486733,0.037393,0.014823,0.043937,0.072907,Fraud,True,False
6,2/27/19 5:51,b'@hydcitypolice Why are Hyderabad Police too scared of autos?',Query,NS,8.06e+17,0.0,,-0.956987,0.050856,0.004335,0.948223,0.035517,0.0606,Query,True,False
7,2/27/19 4:48,b'@hydcitypolice Plz take action',Others,NS,1.07e+18,0.0,,0.0,0.060297,0.081585,0.089984,0.322446,0.093865,Community Action,False,False
8,2/27/19 4:47,b'@hydcitypolice Same way should take Action on people Drinking freely on Roads near lane beside Srinivasa kuchipudi academy Domalguda sitting in car all cab drivers  .while so many girl students pass by that lane',Community Action,NS,1.07e+18,0.0,,-0.845474,0.076255,0.076837,0.103986,0.496847,0.427549,Community Action,True,False
9,2/26/19 13:40,"b'@hydcitypolice  Sir/Madam, Please take action on stupid users of TV9 live chat section on youtube channel. Some of the users making vulgar comments and spreading hatred and anti-national comments on a daily basis. Please investigate.'",Fraud,NS,1.09e+18,0.0,,-0.914448,0.441921,0.035492,0.116284,0.183267,0.443134,Fraud,True,False
10,26-02-2019 06:44,"b""@zomatocare @hydcitypolice @cyberabadpolice @VijayGopal_ No call yet\nIt's been 25 days\nI'm going to file a FIR if you don't call by today""",Others,NS,1.08e+18,0.0,,-0.911824,0.330179,0.269086,0.149637,0.02587,0.060171,Community Action,False,False
11,26-02-2019 06:15,"b""@teja_vinjam @AskariAwais @naralokesh @hydcitypolice @VjaCityPolice @narendramodi @ncbn @naralokesh this is how u people are encouraging....very much disappointed by the bahviour till now I have some respect towards you people now sorry.I will not be following u any more u might think one person will not have any impact.but don't forget count starts from 1.""",Others,NS,1.07e+18,0.0,,-0.946399,0.641282,0.017335,0.184955,0.263002,0.18286,Others,True,False
12,26-02-2019 05:38,"b""@teja_vinjam @AskariAwais @naralokesh @hydcitypolice @VjaCityPolice Sir look into this...how he is talking about the PM of our nation.. We can't tolerate such kind of people.. I hope u will be taking the necessary action people who are against to our nation..""",Community Action,S,1.07e+18,0.0,,-0.750213,0.23784,0.119007,0.024211,0.358798,0.179057,Community Action,True,False
13,26-02-2019 05:27,"b""@AskariAwais @naralokesh @hydcitypolice Sir this guy is insulting the PM of our nation request you to please look into this sir... My humble request to @hydcitypolice  Don't leave such kind of people..""",Others,NS,1.07e+18,0.0,,-0.818147,0.372949,0.089664,0.019127,0.19357,0.290434,Community Action,False,False
