Date,Tweet Full Text,Topic,Action,user id,follower count,place
2/25/19 6:34,b'@zomatocare @hydcitypolice \n@cyberabadpolice \n@VijayGopal_ \nzomato accepted my order and never delivered or refunded. Kindly help',Others,NS,1.08E+18,0,
2/25/19 5:15,"b'@hydcitypolice Sir, any updates regarding my complaint?'",Follow up,S,1.04E+18,0,
2/24/19 5:59,b'@HYDTP @CPHydCity @hydcitypolice @TelanganaDGP @CYBTRAFFIC  triple riding.. no helmet... At Erragadda rythu bazar 10:25AM 24-02-2019 https://t.co/tPzBlu6ENd',Traffic,NS,1.09E+18,0,
03-01-2019 14:32,b'@HYDTP @hydcitypolice @AddlCPTrHyd Good initiative',Appreciation,NS,140010819,0,
03-01-2019 12:34,b'@USCGHyderabad @TelanganaDGP @USAndHyderabad @TelanganaCMO @KTRTRS @hydcitypolice It was a pleasure meeting you.. Thank you',Appreciation,NS,1.05E+18,0,
03-01-2019 08:03,"b""@hydcitypolice @CyberCrimeshyd @HDFC_Bank @HDFCBank_Cares I have applied for HDFC Regalia 1st credit card on 20/01/2019 at paradise circle branch, secunderabad. I was told that I would receive CC in 7 working days. It's been over a month &amp; person assigned is not answering my call""",Fraud,NS,7.53E+17,0,
2/27/19 5:51,b'@hydcitypolice Why are Hyderabad Police too scared of autos?',Query,NS,8.06E+17,0,
2/27/19 4:48,b'@hydcitypolice Plz take action',Others,NS,1.07E+18,0,
2/27/19 4:47,b'@hydcitypolice Same way should take Action on people Drinking freely on Roads near lane beside Srinivasa kuchipudi academy Domalguda sitting in car all cab drivers  .while so many girl students pass by that lane',Community Action,NS,1.07E+18,0,
2/26/19 13:40,"b'@hydcitypolice  Sir/Madam, Please take action on stupid users of TV9 live chat section on youtube channel. Some of the users making vulgar comments and spreading hatred and anti-national comments on a daily basis. Please investigate.'",Fraud,NS,1.09E+18,0,
26-02-2019 06:44,"b""@zomatocare @hydcitypolice @cyberabadpolice @VijayGopal_ No call yet\nIt's been 25 days\nI'm going to file a FIR if you don't call by today""",Others,NS,1.08E+18,0,
26-02-2019 06:15,"b""@teja_vinjam @AskariAwais @naralokesh @hydcitypolice @VjaCityPolice @narendramodi @ncbn @naralokesh this is how u people are encouraging....very much disappointed by the bahviour till now I have some respect towards you people now sorry.I will not be following u any more u might think one person will not have any impact.but don't forget count starts from 1.""",Others,NS,1.07E+18,0,
26-02-2019 05:38,"b""@teja_vinjam @AskariAwais @naralokesh @hydcitypolice @VjaCityPolice Sir look into this...how he is talking about the PM of our nation.. We can't tolerate such kind of people.. I hope u will be taking the necessary action people who are against to our nation..""",Community Action,S,1.07E+18,0,
26-02-2019 05:27,"b""@AskariAwais @naralokesh @hydcitypolice Sir this guy is insulting the PM of our nation request you to please look into this sir... My humble request to @hydcitypolice  Don't leave such kind of people..""",Others,NS,1.07E+18,0,
26-02-2019 03:10,b'@hydcitypolice Congrats.keep doing good job',Appreciation,NS,407786940,0,
2/25/19 9:41,b'@HYDTP @Im_ShakeelAhmed @hydcitypolice Why no action is being taken with my complain??\n@HYDTP @hydcitypolice',Follow up,S,1.06E+18,1,
03-01-2019 06:17,b'@DCPEASTZONE @hydcitypolice @AddlCPCrimesHyd @IGWomenSafety @TelanganaDGP @TelanganaCMO @Nainajaiswal14 @DCPWZHyd @DCPNZHyd @DCPSZHyd @DCPCZHyd May I know how to book for this event?',Query,S,9.89E+17,1,
2/27/19 12:11,"b'@HYDTP @hydcitypolice @RachakondaCop @SoumyodipMitra @CommissionrGHMC @GHMCOnline @bonthurammohan Why no action is being taken, its because rules are only for people and not for Traffic police??\nRules should be applied to both.\nWhyare you  @HYDTP trying to protect SI and constable??'",Traffic,S,1.06E+18,1,
